"","sample_id","STAD_CIN","STAD_EBV","STAD_GS","STAD_MSI","TCGA_subtype","High_cal","Low_cal","TME_subtype","tissue"
"1","53C-O",0.904683263754873,0.0180940442700369,0.0219489486276086,0.0552737433474815,"STAD_CIN",0.468784030367729,0.531215969632271,"Low_cal","organoid"
"2","54C-O",0.0449919506357182,0.0111610320363834,0.0338337009762131,0.910013316351685,"STAD_MSI",0.776674578450017,0.223325421549983,"High_cal","organoid"
"3","55C-O",0.901991986895942,0.00850582990138611,0.0649286868793715,0.0245734963233007,"STAD_CIN",0.146651992837576,0.853348007162424,"Low_cal","organoid"
"4","57C-O",0.821848822655647,0.0288874243070977,0.0557916800712907,0.0934720729659642,"STAD_CIN",0.259956822265585,0.740043177734415,"Low_cal","organoid"
"5","59C-O",0.931731678777966,0.0274403943643748,0.0322793732121383,0.00854855364552096,"STAD_CIN",0.204635002734518,0.795364997265482,"Low_cal","organoid"
"6","62C-O",0.996212487967433,0.00135595617114204,0.000582624657278275,0.00184893120414667,"STAD_CIN",0.443043323414615,0.556956676585385,"Low_cal","organoid"
"7","63C-O",0.508298435379311,0.0148513902216229,0.356997295332492,0.119852879066574,"STAD_CIN",0.207542199921135,0.792457800078865,"Low_cal","organoid"
"8","64C-O",0.75950959726421,0.0589436380528078,0.0979813413082886,0.0835654233746938,"STAD_CIN",0.156840390571233,0.843159609428767,"Low_cal","organoid"
"9","64C-O #2",0.871361085859869,0.0164685503717774,0.0578180569617614,0.0543523068065918,"STAD_CIN",0.233454131405793,0.766545868594207,"Low_cal","organoid"
"10","66C-O",0.249603040514394,0.564205621794756,0.0844363473284,0.101754990362449,"STAD_EBV",0.27780540226063,0.72219459773937,"Low_cal","organoid"
"11","71C-O",0.921083465372761,0.00814313228169107,0.0623802524645221,0.00839314988102627,"STAD_CIN",0.324139490181284,0.675860509818716,"Low_cal","organoid"
"12","72C-O",0.396270152005499,0.0286242990493227,0.402708584731947,0.17239696421323,"STAD_GS",0.240491568668392,0.759508431331608,"Low_cal","organoid"
"13","10C",0.39803310421888,0.06195407255781,0.416617945060312,0.123394878162998,"STAD_GS",0.188258393912721,0.811741606087279,"Low_cal","ffpe"
"14","14C",0.996950260845027,0.00146558897106406,0.000266443461034312,0.00131770672287452,"STAD_CIN",0.140436488601649,0.859563511398351,"Low_cal","ffpe"
"15","15C",0.949254451752839,0.00939526392790596,0.027635672122067,0.0137146121971885,"STAD_CIN",0.172907463662412,0.827092536337588,"Low_cal","ffpe"
"16","18C",0.923629117497726,0.00767170620928515,0.0453562963513189,0.0233428799416701,"STAD_CIN",0.443043323414615,0.556956676585385,"Low_cal","ffpe"
"17","19C",0.387916734016473,0.00857175733958717,0.577178270442283,0.026333238201657,"STAD_GS",0.20889072205477,0.79110927794523,"Low_cal","ffpe"
"18","1C",0.116435561699778,0.578863763929798,0.182802408102141,0.121898266268283,"STAD_EBV",0.85674687690329,0.14325312309671,"High_cal","ffpe"
"19","20C",0.995774699702183,0.000739220801536493,0.00183544383000683,0.00165063566627355,"STAD_CIN",0.20675476682086,0.79324523317914,"Low_cal","ffpe"
"20","21C",0.998525074551598,0.000196355500791478,0.000233598589462817,0.00104497135814809,"STAD_CIN",0.254996074654681,0.745003925345319,"Low_cal","ffpe"
"21","22C",0.961580159668598,0.0066284277203471,0.00853055288101455,0.0232608597300403,"STAD_CIN",0.39259751011018,0.60740248988982,"Low_cal","ffpe"
"22","23C",0.917102572201308,0.00448420470022615,0.0708292901917882,0.00758393290667736,"STAD_CIN",0.0768223183507265,0.923177681649273,"Low_cal","ffpe"
"23","28C",0.916434567665202,0.0164167833586056,0.0288221454325855,0.0383265035436069,"STAD_CIN",0.158563763487372,0.841436236512628,"Low_cal","ffpe"
"24","29C",0.965960814020505,0.00126696345595213,0.00451305330590528,0.028259169217637,"STAD_CIN",0.188258393912721,0.811741606087279,"Low_cal","ffpe"
"25","2C",0.969411425738525,0.00191852616595866,0.0267072188229823,0.00196282927253436,"STAD_CIN",0.28041589437794,0.71958410562206,"Low_cal","ffpe"
"26","30C",0.0486974062601228,0.00622194353872004,0.00630235990421946,0.938778290296938,"STAD_MSI",0.160302472706164,0.839697527293836,"Low_cal","ffpe"
"27","31C",0.910376384537818,0.00219715247523358,0.0763163596016133,0.0111101033853354,"STAD_CIN",0.153439416585226,0.846560583414774,"Low_cal","ffpe"
"28","32C",0.214020484570685,0.0272768164915228,0.0946255942532947,0.664077104684497,"STAD_MSI",0.67508371202133,0.32491628797867,"High_cal","ffpe"
"29","36C",0.334827648122863,0.0194531389512785,0.19068259505197,0.455036617873889,"STAD_MSI",0.475250708525155,0.524749291474845,"Low_cal","ffpe"
"30","38C",0.476773855709258,0.0329270845761021,0.437924444336136,0.0523746153785032,"STAD_CIN",0.20889072205477,0.79110927794523,"Low_cal","ffpe"
"31","3C",0.880007977111934,0.00552021478507849,0.0783079639577492,0.0361638441452388,"STAD_CIN",0.250098000475016,0.749901999524984,"Low_cal","ffpe"
"32","42C",0.872702560146814,0.0036647200633188,0.102167671046462,0.0214650487434056,"STAD_CIN",0.0973657436162261,0.902634256383774,"Low_cal","ffpe"
"33","46C",0.766191698321566,0.0265216115565001,0.0795384554082077,0.127748234713727,"STAD_CIN",0.374197341971083,0.625802658028917,"Low_cal","ffpe"
"34","4C",0.88771474834399,0.0209417117132164,0.0551678023783954,0.0361757375643986,"STAD_CIN",0.0962314409888649,0.903768559011135,"Low_cal","ffpe"
"35","53C",0.320557044529201,0.0214152204014126,0.489333613961719,0.168694121107667,"STAD_GS",0.0664827683215835,0.933517231678416,"Low_cal","ffpe"
"36","54C",0.0180442069775709,0.0013581255068211,0.0152326452478352,0.965365022267773,"STAD_MSI",0.0816355753053771,0.918364424694623,"Low_cal","ffpe"
"37","55C",0.0385940068797541,0.951496956154,0.00532326803789398,0.00458576892835197,"STAD_EBV",0.585191461240795,0.414808538759205,"High_cal","ffpe"
"38","57C",0.658746373789827,0.0133725022453684,0.167441552181377,0.160439571783428,"STAD_CIN",0.0996701782735129,0.900329821726487,"Low_cal","ffpe"
"39","59C",0.492055598514309,0.0185270855821366,0.384998181967298,0.104419133936256,"STAD_CIN",0.341421103375465,0.658578896624535,"Low_cal","ffpe"
"40","62C",0.909908241406656,0.00796653506244,0.0435011092801658,0.0386241142507382,"STAD_CIN",0.0896707081426216,0.910329291857378,"Low_cal","ffpe"
"41","63C",0.606475913648131,0.0233538016570214,0.285093833915235,0.0850764507796118,"STAD_CIN",0.068939554412926,0.931060445587074,"Low_cal","ffpe"
"42","64C",0.828933583554943,0.0186648689779476,0.111012015420119,0.0413895320469907,"STAD_CIN",0.0737622601607741,0.926237739839226,"Low_cal","ffpe"
"43","66C",0.620622564701127,0.0225288787327036,0.238968905911028,0.117879650655141,"STAD_CIN",0.059157559551967,0.940842440448033,"Low_cal","ffpe"
"44","68C",0.249156327243415,0.0821453597458968,0.12705251014429,0.541645802866398,"STAD_MSI",0.568841634479269,0.431158365520731,"High_cal","ffpe"
"45","69C",0.851011887399047,0.0228024779280804,0.0358582661051626,0.0903273685677097,"STAD_CIN",0.49955742329144,0.50044257670856,"Low_cal","ffpe"
"46","6C",0.987379204887625,0.00465327290058165,0.00506721939296342,0.00290030281883003,"STAD_CIN",0.326988242772763,0.673011757227237,"Low_cal","ffpe"
"47","70C",0.859998823612819,0.0115535265979671,0.0486746850616901,0.079772964727524,"STAD_CIN",0.565624732390354,0.434375267609646,"High_cal","ffpe"
"48","71C",0.742372517824632,0.0128505312537396,0.0791903986494844,0.165586552272144,"STAD_CIN",0.0996701782735129,0.900329821726487,"Low_cal","ffpe"
"49","72C",0.301120624616456,0.0663066480547973,0.192051347847283,0.440521379481464,"STAD_MSI",0.118544927754054,0.881455072245946,"Low_cal","ffpe"
"50","7C",0.962736726372392,0.0050437216232078,0.0100507291053327,0.0221688228990677,"STAD_CIN",0.0697769982358941,0.930223001764106,"Low_cal","ffpe"
